numero_experimento;dataset;estructura_de_datos;clave;cantidad_consultas;tiempo_ejecucion
2;auspol2019;hash_cerrado_quadratic;user_id;130000;0.006911100
2;auspol2019;hash_cerrado_quadratic;user_id;140000;0.007177300
2;auspol2019;hash_cerrado_quadratic;user_id;150000;0.007574000
2;auspol2019;hash_cerrado_quadratic;user_id;160000;0.008093800
2;auspol2019;hash_cerrado_quadratic;user_id;170000;0.008481500
2;auspol2019;hash_cerrado_quadratic;user_id;180000;0.008793900
2;auspol2019;hash_cerrado_quadratic;screen_name;10000;0.001840300
2;auspol2019;hash_cerrado_quadratic;screen_name;20000;0.004876200
2;auspol2019;hash_cerrado_quadratic;screen_name;30000;0.005990700
2;auspol2019;hash_cerrado_quadratic;screen_name;40000;0.006993500
2;auspol2019;hash_cerrado_quadratic;screen_name;50000;0.007917800
2;auspol2019;hash_cerrado_quadratic;screen_name;60000;0.011862500
2;auspol2019;hash_cerrado_quadratic;screen_name;70000;0.012464500
2;auspol2019;hash_cerrado_quadratic;screen_name;80000;0.013051900
2;auspol2019;hash_cerrado_quadratic;screen_name;90000;0.013554600
2;auspol2019;hash_cerrado_quadratic;screen_name;100000;0.014031100
2;auspol2019;hash_cerrado_quadratic;screen_name;110000;0.014499100
2;auspol2019;hash_cerrado_quadratic;screen_name;120000;0.014956100
2;auspol2019;hash_cerrado_quadratic;screen_name;130000;0.015405400
2;auspol2019;hash_cerrado_quadratic;screen_name;140000;0.015834300
2;auspol2019;hash_cerrado_quadratic;screen_name;150000;0.016376500
2;auspol2019;hash_cerrado_quadratic;screen_name;160000;0.017040000
2;auspol2019;hash_cerrado_quadratic;screen_name;170000;0.017630900
2;auspol2019;hash_cerrado_quadratic;screen_name;180000;0.018143200
2;auspol2019;hash_cerrado_double;user_id;10000;0.001539400
2;auspol2019;hash_cerrado_double;user_id;20000;0.002644700
2;auspol2019;hash_cerrado_double;user_id;30000;0.003096700
2;auspol2019;hash_cerrado_double;user_id;40000;0.003509900
2;auspol2019;hash_cerrado_double;user_id;50000;0.003951300
2;auspol2019;hash_cerrado_double;user_id;60000;0.005803500
2;auspol2019;hash_cerrado_double;user_id;70000;0.006174000
2;auspol2019;hash_cerrado_double;user_id;80000;0.006546900
